episode,epsilon,episode_reward,rolling_average_reward,mean_recent_loss,replay_buffer_size,average_loan_duration,bankruptcy_count,average_ending_money,invalid_action_count,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count,action_6_count,action_7_count
5700,0.2,78000,80838.5,13984.67953125,33575,0.05,4,84910.0,17,393,83,10,13,16,35,10,28
5800,0.2,29250,72326.5,13880.04,34166,0.01,5,77410.0,13,394,67,19,15,10,44,23,19
5900,0.2,32000,82705.0,13766.609052734375,34755,0.0,5,87850.0,14,415,68,13,10,11,36,14,22
6000,0.2,58000,85657.0,14041.351259765624,35352,0.02,1,88170.0,22,368,75,17,11,15,49,25,37
6100,0.2,52000,80060.0,14189.910029296874,35952,0.04,0,83710.0,14,401,76,23,15,9,41,13,22
6200,0.2,68000,77354.0,13985.73037109375,36538,0.21,4,82090.0,25,348,75,22,20,20,58,18,25
6300,0.2,58750,75547.5,14000.631083984375,37121,0.0,7,82670.0,17,388,74,21,10,17,35,20,18
6400,0.2,134500,85902.5,13866.49611328125,37717,0.04,2,89610.0,18,369,77,21,9,20,55,21,24
6500,0.2,75750,74712.5,14068.8012890625,38312,0.09,2,78590.0,13,364,82,20,16,36,41,23,13
6600,0.2,3500,77475.0,14176.9465625,38904,0.05,2,82090.0,18,371,75,23,18,16,49,23,17
6700,0.2,70750,70381.5,14120.040888671874,39488,0.03,5,77620.0,15,389,78,26,9,24,34,15,9
6800,0.2,47750,70324.0,14027.03634765625,40075,0.08,4,74560.0,9,316,95,29,11,45,48,25,18
6900,0.2,92000,82702.0,14174.98005859375,40665,0.17,4,87350.0,11,360,84,20,18,31,39,23,15
7000,0.2,171000,70414.5,13861.90453125,41254,0.07,5,77050.0,14,364,79,17,8,57,24,23,17
7100,0.2,11000,74259.0,14230.319970703125,41843,0.04,3,79070.0,15,361,73,38,17,35,25,19,21
7200,0.2,6000,74827.5,14299.62845703125,42430,0.0,4,79860.0,11,370,84,22,18,42,15,15,21
7300,0.2,45500,84660.5,14390.300625,43030,0.04,0,87310.0,17,359,91,10,19,62,20,21,18
7400,0.2,52750,78884.5,14260.6587109375,43620,0.02,4,83710.0,12,342,88,19,13,63,22,28,15
7500,0.2,127000,76676.5,14180.5418359375,44194,0.03,7,83510.0,21,340,77,17,17,73,9,26,15
7600,0.2,65500,85247.5,14068.839580078125,44794,0.0,1,88290.0,13,357,86,19,13,60,12,33,20
7700,0.2,67000,75132.5,14145.567890625,45393,0.04,2,79670.0,24,352,88,15,14,63,14,34,19
7800,0.2,152000,82217.5,14078.06208984375,45987,0.0,4,86140.0,10,362,86,9,13,57,12,36,19
7900,0.2,64250,79234.5,14278.97810546875,46581,0.07,2,83980.0,20,349,81,19,19,67,13,34,12
8000,0.2,94500,79854.5,14059.5387890625,47176,0.15,2,84270.0,17,333,93,22,11,67,7,44,18
8100,0.2,175750,87949.5,14244.433369140625,47770,0.02,4,91830.0,10,356,86,16,18,55,12,28,23
8200,0.2,60250,71957.5,14342.01099609375,48354,0.0,4,77660.0,23,318,95,21,10,80,18,29,13
8300,0.2,22500,65528.5,14295.937861328124,48936,0.11,6,72180.0,20,314,92,18,12,70,15,41,20
8400,0.2,56500,74754.0,14084.293974609374,49534,0.03,2,79160.0,20,320,96,20,17,78,10,39,18
8500,0.2,199000,75344.5,14118.1467578125,50125,0.12,3,79800.0,18,309,90,15,14,75,15,52,21
8600,0.2,152000,73834.0,14231.957119140625,50717,0.01,4,78530.0,8,348,84,15,20,60,15,33,17
8700,0.2,17750,83046.0,14220.148896484376,51307,0.09,3,87970.0,14,366,81,14,15,64,8,24,18
8800,0.2,82250,90227.5,14257.988896484376,51903,0.04,1,93000.0,13,360,84,13,11,60,26,22,20
8900,0.2,-66000,71303.5,14617.642109375,52490,0.15,6,78260.0,16,345,83,14,14,71,15,26,19
9000,0.2,158750,79135.0,14407.7968359375,53074,0.0,7,85090.0,11,354,80,17,13,52,12,34,22
9100,0.2,90000,93784.5,14285.218388671876,53667,0.06,2,97190.0,10,348,94,11,15,64,11,26,24
9200,0.2,40750,75621.5,14660.3459375,54259,0.07,3,80020.0,7,355,93,10,13,58,16,28,19
9300,0.2,-65000,79360.5,14510.6806640625,54851,0.14,6,85500.0,15,327,87,12,17,59,17,46,27
9400,0.2,156000,78339.0,14654.050732421874,55439,0.03,3,83010.0,11,336,81,15,10,61,16,45,24
9500,0.2,58750,72118.0,14733.86693359375,56032,0.07,4,77180.0,9,346,84,16,11,64,14,23,35
9600,0.2,90750,87450.0,14839.029033203125,56625,0.09,2,90750.0,7,356,76,8,16,55,20,29,33
9700,0.2,76000,78737.5,14750.868291015626,57218,0.05,2,82280.0,10,323,81,26,16,46,20,44,37
9800,0.2,186500,85902.5,15028.298642578126,57804,0.05,5,91410.0,17,347,72,17,13,51,16,25,45
9900,0.2,122000,91721.5,15174.197998046875,58404,0.05,0,94110.0,11,354,86,13,9,68,11,22,37
10000,0.2,49750,86912.5,14879.319150390626,59002,0.04,2,90940.0,8,354,81,16,21,51,13,28,34
10100,0.2,35500,87865.5,15150.434404296875,59588,0.06,4,92930.0,17,335,84,21,12,56,15,23,40
10200,0.2,90750,88312.0,15231.1034765625,60187,0.02,1,91190.0,17,352,98,17,10,58,15,22,27
10300,0.2,131500,71019.0,15130.566943359376,60767,0.08,8,78730.0,10,339,75,10,16,59,18,29,34
10400,0.2,39250,80477.0,15370.91048828125,61350,0.11,6,86810.0,15,342,79,12,17,52,16,19,46
10500,0.2,160000,86006.0,15131.424423828124,61950,0.16,0,88790.0,18,319,92,18,20,55,9,35,52
10600,0.2,56500,82197.5,15354.574013671874,62545,0.05,1,86130.0,17,350,81,8,16,58,14,24,44
10700,0.2,115750,76889.5,14946.6346875,63135,0.06,5,82750.0,20,315,77,14,15,62,19,39,49
10800,0.2,65500,78102.0,15247.641083984376,63730,0.13,2,81530.0,19,305,89,13,17,63,13,52,43
10900,0.2,21500,78129.0,14844.040947265625,64321,0.06,4,83160.0,14,339,92,11,15,52,12,30,40
11000,0.2,72250,82975.0,14974.817880859375,64910,0.0,3,87970.0,15,349,83,15,10,53,19,21,39
11100,0.2,82500,84683.0,14892.382353515624,65506,0.07,1,89230.0,23,331,76,10,14,49,13,33,70
11200,0.2,98250,78118.0,14942.772265625,66087,0.13,7,84620.0,12,339,79,12,17,52,16,27,39
11300,0.2,104500,79714.0,15136.352978515624,66683,0.07,2,84350.0,15,319,85,16,16,51,20,30,59
11400,0.2,31750,72113.5,15085.18583984375,67267,0.05,4,78740.0,32,292,84,13,19,44,21,47,64
11500,0.2,74000,88072.5,15180.916708984376,67856,0.12,4,93200.0,14,364,80,16,11,46,13,17,42
11600,0.2,100250,83019.0,14687.348544921875,68438,0.11,6,89420.0,19,322,83,12,14,53,18,22,58
11700,0.2,134000,88133.0,15152.38078125,69020,0.02,4,93700.0,18,341,67,10,15,46,15,27,61
11800,0.2,105500,76784.0,14858.23365234375,69605,0.12,7,83660.0,24,334,73,9,16,40,16,31,66
11900,0.2,88000,83523.0,15149.55900390625,70184,0.13,6,89890.0,11,342,69,11,18,41,14,33,51
12000,0.2,92000,83154.5,15152.92890625,70763,0.14,7,90100.0,16,344,72,22,10,37,11,27,56
12100,0.2,151000,97787.5,14957.2085546875,71362,0.04,1,100690.0,27,336,80,15,17,41,15,12,83
12200,0.2,100000,79366.5,14772.37125,71948,0.07,5,85910.0,28,319,78,10,17,46,16,23,77
12300,0.2,133750,69888.0,15100.84919921875,72525,0.06,11,79510.0,23,316,75,16,16,46,9,24,75
12400,0.2,50000,92965.0,15188.947978515625,73109,0.0,5,98230.0,17,327,76,16,17,30,18,25,75
12500,0.2,48000,77260.0,15314.478251953125,73693,0.04,4,84150.0,36,318,68,14,11,37,19,17,100
12600,0.2,187750,78267.5,15063.5815234375,74283,0.05,3,84150.0,35,292,78,17,18,55,20,25,85
12700,0.2,137000,84900.5,15230.848310546875,74871,0.04,5,91420.0,18,367,63,12,14,38,14,19,61
12800,0.2,110000,87850.0,14989.966220703125,75457,0.0,5,93640.0,16,371,70,9,10,35,9,19,63
12900,0.2,50000,78335.0,15028.9300390625,76049,0.0,2,83690.0,28,331,69,10,22,45,10,20,85
13000,0.2,-60000,81647.5,15064.359736328124,76631,0.0,7,88630.0,21,340,65,18,9,45,9,31,65
13100,0.2,200500,75765.0,15028.0265234375,77216,0.04,4,81310.0,18,311,71,16,18,53,15,25,76
13200,0.2,27500,86029.0,15075.938994140624,77806,0.01,3,90370.0,23,330,65,14,20,49,15,26,71
13300,0.2,7000,85911.5,14998.456845703126,78391,0.01,5,90920.0,5,343,75,17,16,43,16,26,49
13400,0.2,205750,84590.0,14862.19412109375,78979,0.04,5,89320.0,13,339,71,15,15,47,20,25,56
13500,0.2,51250,78299.0,14935.196357421875,79555,0.11,6,85240.0,15,344,71,15,13,44,10,22,57
13600,0.2,44750,80706.5,15216.136533203126,80144,0.1,4,86220.0,22,307,84,22,11,55,12,29,69
13700,0.2,76250,79507.5,15166.844921875,80734,0.0,3,84280.0,10,339,76,12,18,44,21,23,57
13800,0.2,132750,67806.5,15383.90912109375,81325,0.07,4,74300.0,31,314,68,18,15,50,12,24,90
13900,0.2,51750,77611.5,15264.196162109374,81893,0.01,10,86280.0,13,321,67,15,15,37,17,21,75
14000,0.2,77750,84922.5,15417.0376171875,82488,0.04,3,89890.0,22,340,71,16,15,48,11,29,65
14100,0.2,32000,82897.5,15439.273056640624,83083,0.08,2,87910.0,18,321,70,25,14,50,20,23,72
14200,0.2,164750,88115.0,15303.102412109374,83672,0.04,3,92240.0,7,354,78,14,10,48,12,20,53
14300,0.2,120000,76175.0,15480.00380859375,84248,0.09,9,84020.0,13,354,69,17,12,44,10,16,54
14400,0.2,46000,77275.0,15287.57537109375,84834,0.0,5,83470.0,17,332,70,16,11,58,15,18,66
14500,0.2,99000,81778.0,15300.7219140625,85419,0.12,5,88180.0,20,315,73,17,11,54,18,38,59
14600,0.2,72000,90102.5,15355.46546875,86008,0.0,4,94790.0,9,365,68,18,11,51,10,19,47
14700,0.2,76750,78326.5,15301.645517578125,86596,0.03,4,83790.0,19,335,69,14,12,52,20,21,65
14800,0.2,85750,80372.5,15428.922685546875,87188,0.04,4,85750.0,19,333,70,10,20,50,18,18,73
14900,0.2,143750,83954.0,15488.483876953125,87772,0.07,5,89350.0,17,309,75,20,13,47,21,24,75
15000,0.2,52750,89520.0,15568.00982421875,88363,0.0,3,93740.0,18,330,73,13,17,55,11,29,63
15100,0.2,130500,84682.0,15490.17943359375,88955,0.11,2,88880.0,10,327,80,16,15,53,15,21,65
15200,0.2,153500,85668.0,15381.7591015625,89533,0.08,8,92530.0,15,327,76,9,16,47,17,19,67
15300,0.2,82250,73062.5,15468.04125,90118,0.04,6,80480.0,17,333,75,20,12,53,11,22,59
15400,0.2,81000,89351.0,15234.61078125,90705,0.03,5,94600.0,17,335,66,9,14,49,15,19,80
15500,0.2,130750,83284.0,14864.715673828125,91297,0.17,3,88330.0,11,338,68,13,20,50,15,17,71
15600,0.2,33500,89221.5,15222.771552734375,91894,0.01,1,92880.0,11,358,78,16,9,54,8,15,59
15700,0.2,134000,89649.5,15474.973828125,92469,0.14,7,95880.0,10,338,73,13,17,47,14,15,58
15800,0.2,59750,82258.0,15481.41009765625,93063,0.13,3,87300.0,22,304,75,17,18,55,14,21,90
15900,0.2,-71000,91237.5,15713.95470703125,93650,0.0,5,97030.0,30,293,72,12,16,57,13,16,108
16000,0.2,-70000,76609.0,14957.7520703125,94223,0.03,7,83740.0,17,293,76,14,9,47,15,28,91
16100,0.2,56750,97987.5,15278.39880859375,94816,0.0,2,102110.0,13,350,68,15,13,55,7,10,75
16200,0.2,69500,82047.5,15513.9237890625,95399,0.09,5,87570.0,18,271,77,20,17,61,13,29,95
16300,0.2,71750,88099.5,15161.545341796875,95990,0.12,4,93300.0,23,313,74,22,15,56,9,17,85
16400,0.2,39500,78771.5,15620.26990234375,96582,0.11,6,84970.0,25,262,75,25,15,67,15,27,106
