episode,epsilon,episode_reward,rolling_average_reward,mean_recent_loss,replay_buffer_size,average_loan_duration,bankruptcy_count,average_ending_money,invalid_action_count,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count,action_6_count,action_7_count
4600,0.990291,-3000,28972.5,12274.4241015625,26593,0.0,15,39030.0,14,422,23,19,24,27,20,22,25
4700,0.9900798888888889,122750,31752.5,11702.297919921875,27178,0.0,15,40120.0,8,414,24,29,20,26,26,22,24
4800,0.9898687777777778,-55250,25952.5,12104.85490234375,27761,0.0,14,35570.0,11,418,27,18,30,24,24,21,21
4900,0.9896576666666667,29500,27620.0,11981.698701171876,28328,0.0,15,37060.0,8,400,19,23,27,19,26,27,26
5000,0.9894465555555556,-46500,27817.5,11972.764736328125,28910,0.0,17,37650.0,12,418,24,17,29,19,28,24,23
5100,0.9892354444444444,56000,36095.0,12102.6203515625,29494,0.0,8,42560.0,6,419,26,21,13,34,24,29,18
5200,0.9890243333333333,-51250,36757.5,11729.969619140626,30074,0.0,16,46710.0,8,414,18,27,24,23,16,18,40
5300,0.9888132222222222,8500,30422.5,11876.844892578125,30661,0.0,14,39150.0,10,420,21,32,18,24,21,28,23
5400,0.9886021111111111,28500,29967.5,11849.881650390626,31244,0.0,11,38710.0,5,432,23,23,20,23,14,22,26
5500,0.988391,45250,19372.5,11770.608369140626,31810,0.0,21,32340.0,5,405,25,28,33,17,24,17,17
5600,0.9881798888888889,-57000,32260.0,11792.216298828125,32397,0.0,13,41170.0,13,421,29,25,20,28,17,21,26
5700,0.9879687777777778,74250,35415.0,12160.679169921876,32969,0.0,16,44710.0,7,403,22,28,24,13,28,23,31
5800,0.9877576666666666,-7250,31212.5,11919.28255859375,33555,0.0,16,39960.0,6,420,28,28,12,27,25,20,26
5900,0.9875465555555556,13500,29577.5,11683.05875,34141,0.0,15,38490.0,8,422,21,25,12,24,34,28,20
