episode,average_reward,bankruptcy_rate,average_ending_money,average_loan_duration,invalid_action_rate
10000,1217.0,0.0,32840.0,0.02,0.83
20000,2802.5,0.0,33840.0,0.0,0.8266666666666667
30000,-1042.5,0.02,31090.0,0.0,0.8305084745762712
40000,-745.0,0.02,31430.0,0.0,0.8305084745762712
50000,2610.0,0.02,34510.0,0.0,0.8305084745762712
